"slope","threshold","x","sigmoid"
0,0.1,0.7900,0.665967
0,0.1,0.8000,0.668188
0,0.1,0.8100,0.670401
0,0.1,0.8200,0.672607
0,0.1,0.8300,0.674805
0,0.1,0.8400,0.676996
0,0.1,0.8500,0.679179
0,0.1,0.8600,0.681354
0,0.1,0.8700,0.683521
0,0.1,0.8800,0.685680
0,0.1,0.8900,0.687831
0,0.1,0.9000,0.689974
0,0.1,0.9100,0.692110
0,0.1,0.9200,0.694236
0,0.1,0.9300,0.696355
0,0.1,0.9400,0.698465
0,0.1,0.9500,0.700567
0,0.1,0.9600,0.702661
0,0.1,0.9700,0.704746
0,0.1,0.9800,0.706822
0,0.1,0.9900,0.708890
0,0.1,1.0000,0.710950
0,0.2,0.0000,0.450166
0,0.2,0.0100,0.452642
0,0.2,0.0200,0.455121
0,0.2,0.0300,0.457602
0,0.2,0.0400,0.460085
0,0.2,0.0500,0.462570
0,0.2,0.0600,0.465057
0,0.2,0.0700,0.467546
0,0.2,0.0800,0.470036
0,0.2,0.0900,0.472528
0,0.2,0.1000,0.475021
0,0.2,0.1100,0.477515
0,0.2,0.1200,0.480011
0,0.2,0.1300,0.482507
0,0.2,0.1400,0.485004
0,0.2,0.1500,0.487503
0,0.2,0.1600,0.490001
0,0.2,0.1700,0.492501
0,0.2,0.1800,0.495000
0,0.2,0.1900,0.497500
0,0.2,0.2000,0.500000
0,0.2,0.2100,0.502500
0,0.2,0.2200,0.505000
0,0.2,0.2300,0.507499
0,0.2,0.2400,0.509999
0,0.2,0.2500,0.512497
0,0.2,0.2600,0.514996
0,0.2,0.2700,0.517493
0,0.2,0.2800,0.519989
0,0.2,0.2900,0.522485
0,0.2,0.3000,0.524979
0,0.2,0.3100,0.527472
0,0.2,0.3200,0.529964
0,0.2,0.3300,0.532454
0,0.2,0.3400,0.534943
0,0.2,0.3500,0.537430
0,0.2,0.3600,0.539915
0,0.2,0.3700,0.542398
0,0.2,0.3800,0.544879
0,0.2,0.3900,0.547358
0,0.2,0.4000,0.549834
0,0.2,0.4100,0.552308
0,0.2,0.4200,0.554779
0,0.2,0.4300,0.557248
0,0.2,0.4400,0.559714
0,0.2,0.4500,0.562177
0,0.2,0.4600,0.564636
0,0.2,0.4700,0.567093
0,0.2,0.4800,0.569546
0,0.2,0.4900,0.571996
0,0.2,0.5000,0.574443
0,0.2,0.5100,0.576885
0,0.2,0.5200,0.579324
0,0.2,0.5300,0.581759
0,0.2,0.5400,0.584191
0,0.2,0.5500,0.586618
0,0.2,0.5600,0.589040
0,0.2,0.5700,0.591459
0,0.2,0.5800,0.593873
0,0.2,0.5900,0.596283
0,0.2,0.6000,0.598688
0,0.2,0.6100,0.601088
0,0.2,0.6200,0.603483
0,0.2,0.6300,0.605874
0,0.2,0.6400,0.608259
0,0.2,0.6500,0.610639
0,0.2,0.6600,0.613014
0,0.2,0.6700,0.615384
0,0.2,0.6800,0.617748
0,0.2,0.6900,0.620106
0,0.2,0.7000,0.622459
0,0.2,0.7100,0.624806
0,0.2,0.7200,0.627148
0,0.2,0.7300,0.629483
0,0.2,0.7400,0.631812
0,0.2,0.7500,0.634136
0,0.2,0.7600,0.636453
0,0.2,0.7700,0.638763
0,0.2,0.7800,0.641067
0,0.2,0.7900,0.643365
0,0.2,0.8000,0.645656
0,0.2,0.8100,0.647941
0,0.2,0.8200,0.650219
0,0.2,0.8300,0.652489
0,0.2,0.8400,0.654753
0,0.2,0.8500,0.657010
0,0.2,0.8600,0.659260
0,0.2,0.8700,0.661503
0,0.2,0.8800,0.663739
0,0.2,0.8900,0.665967
0,0.2,0.9000,0.668188
0,0.2,0.9100,0.670401
0,0.2,0.9200,0.672607
0,0.2,0.9300,0.674805
0,0.2,0.9400,0.676996
0,0.2,0.9500,0.679179
0,0.2,0.9600,0.681354
0,0.2,0.9700,0.683521
0,0.2,0.9800,0.685680
0,0.2,0.9900,0.687831
0,0.2,1.0000,0.689974
0,0.3,0.0000,0.425557
0,0.3,0.0100,0.428004
0,0.3,0.0200,0.430454
0,0.3,0.0300,0.432907
0,0.3,0.0400,0.435364
0,0.3,0.0500,0.437823
0,0.3,0.0600,0.440286
0,0.3,0.0700,0.442752
0,0.3,0.0800,0.445221
0,0.3,0.0900,0.447692
0,0.3,0.1000,0.450166
0,0.3,0.1100,0.452642
0,0.3,0.1200,0.455121
0,0.3,0.1300,0.457602
0,0.3,0.1400,0.460085
0,0.3,0.1500,0.462570
0,0.3,0.1600,0.465057
0,0.3,0.1700,0.467546
0,0.3,0.1800,0.470036
0,0.3,0.1900,0.472528
0,0.3,0.2000,0.475021
0,0.3,0.2100,0.477515
0,0.3,0.2200,0.480011
0,0.3,0.2300,0.482507
0,0.3,0.2400,0.485004
0,0.3,0.2500,0.487503
0,0.3,0.2600,0.490001
0,0.3,0.2700,0.492501
0,0.3,0.2800,0.495000
0,0.3,0.2900,0.497500
0,0.3,0.3000,0.500000
0,0.3,0.3100,0.502500
0,0.3,0.3200,0.505000
0,0.3,0.3300,0.507499
0,0.3,0.3400,0.509999
0,0.3,0.3500,0.512497
0,0.3,0.3600,0.514996
0,0.3,0.3700,0.517493
0,0.3,0.3800,0.519989
0,0.3,0.3900,0.522485
0,0.3,0.4000,0.524979
0,0.3,0.4100,0.527472
0,0.3,0.4200,0.529964
0,0.3,0.4300,0.532454
0,0.3,0.4400,0.534943
0,0.3,0.4500,0.537430
0,0.3,0.4600,0.539915
0,0.3,0.4700,0.542398
0,0.3,0.4800,0.544879
0,0.3,0.4900,0.547358
0,0.3,0.5000,0.549834
0,0.3,0.5100,0.552308
0,0.3,0.5200,0.554779
0,0.3,0.5300,0.557248
0,0.3,0.5400,0.559714
0,0.3,0.5500,0.562177
0,0.3,0.5600,0.564636
0,0.3,0.5700,0.567093
0,0.3,0.5800,0.569546
0,0.3,0.5900,0.571996
0,0.3,0.6000,0.574443
0,0.3,0.6100,0.576885
0,0.3,0.6200,0.579324
0,0.3,0.6300,0.581759
0,0.3,0.6400,0.584191
0,0.3,0.6500,0.586618
0,0.3,0.6600,0.589040
0,0.3,0.6700,0.591459
0,0.3,0.6800,0.593873
0,0.3,0.6900,0.596283
0,0.3,0.7000,0.598688
0,0.3,0.7100,0.601088
0,0.3,0.7200,0.603483
0,0.3,0.7300,0.605874
0,0.3,0.7400,0.608259
0,0.3,0.7500,0.610639
0,0.3,0.7600,0.613014
0,0.3,0.7700,0.615384
0,0.3,0.7800,0.617748
0,0.3,0.7900,0.620106
0,0.3,0.8000,0.622459
0,0.3,0.8100,0.624806
0,0.3,0.8200,0.627148
0,0.3,0.8300,0.629483
0,0.3,0.8400,0.631812
0,0.3,0.8500,0.634136
0,0.3,0.8600,0.636453
0,0.3,0.8700,0.638763
0,0.3,0.8800,0.641067
0,0.3,0.8900,0.643365
0,0.3,0.9000,0.645656
0,0.3,0.9100,0.647941
0,0.3,0.9200,0.650219
0,0.3,0.9300,0.652489
0,0.3,0.9400,0.654753
0,0.3,0.9500,0.657010
0,0.3,0.9600,0.659260
0,0.3,0.9700,0.661503
0,0.3,0.9800,0.663739
0,0.3,0.9900,0.665967
0,0.3,1.0000,0.668188
0,0.4,0.0000,0.401312
0,0.4,0.0100,0.403717
0,0.4,0.0200,0.406127
0,0.4,0.0300,0.408541
0,0.4,0.0400,0.410960
0,0.4,0.0500,0.413382
0,0.4,0.0600,0.415809
0,0.4,0.0700,0.418241
0,0.4,0.0800,0.420676
0,0.4,0.0900,0.423115
0,0.4,0.1000,0.425557
0,0.4,0.1100,0.428004
0,0.4,0.1200,0.430454
0,0.4,0.1300,0.432907
0,0.4,0.1400,0.435364
0,0.4,0.1500,0.437823
0,0.4,0.1600,0.440286
0,0.4,0.1700,0.442752
0,0.4,0.1800,0.445221
0,0.4,0.1900,0.447692
0,0.4,0.2000,0.450166
0,0.4,0.2100,0.452642
0,0.4,0.2200,0.455121
0,0.4,0.2300,0.457602
0,0.4,0.2400,0.460085
0,0.4,0.2500,0.462570
0,0.4,0.2600,0.465057
0,0.4,0.2700,0.467546
0,0.4,0.2800,0.470036
0,0.4,0.2900,0.472528
0,0.4,0.3000,0.475021
0,0.4,0.3100,0.477515
0,0.4,0.3200,0.480011
0,0.4,0.3300,0.482507
0,0.4,0.3400,0.485004
0,0.4,0.3500,0.487503
0,0.4,0.3600,0.490001
0,0.4,0.3700,0.492501
0,0.4,0.3800,0.495000
0,0.4,0.3900,0.497500
0,0.4,0.4000,0.500000
0,0.4,0.4100,0.502500
0,0.4,0.4200,0.505000
0,0.4,0.4300,0.507499
0,0.4,0.4400,0.509999
0,0.4,0.4500,0.512497
0,0.4,0.4600,0.514996
0,0.4,0.4700,0.517493
0,0.4,0.4800,0.519989
0,0.4,0.4900,0.522485
0,0.4,0.5000,0.524979
0,0.4,0.5100,0.527472
0,0.4,0.5200,0.529964
0,0.4,0.5300,0.532454
0,0.4,0.5400,0.534943
0,0.4,0.5500,0.537430
0,0.4,0.5600,0.539915
0,0.4,0.5700,0.542398
0,0.4,0.5800,0.544879
0,0.4,0.5900,0.547358
0,0.4,0.6000,0.549834
0,0.4,0.6100,0.552308
0,0.4,0.6200,0.554779
0,0.4,0.6300,0.557248
0,0.4,0.6400,0.559714
0,0.4,0.6500,0.562177
0,0.4,0.6600,0.564636
0,0.4,0.6700,0.567093
0,0.4,0.6800,0.569546
0,0.4,0.6900,0.571996
0,0.4,0.7000,0.574443
0,0.4,0.7100,0.576885
0,0.4,0.7200,0.579324
0,0.4,0.7300,0.581759
0,0.4,0.7400,0.584191
0,0.4,0.7500,0.586618
0,0.4,0.7600,0.589040
0,0.4,0.7700,0.591459
0,0.4,0.7800,0.593873
0,0.4,0.7900,0.596283
0,0.4,0.8000,0.598688
0,0.4,0.8100,0.601088
0,0.4,0.8200,0.603483
0,0.4,0.8300,0.605874
0,0.4,0.8400,0.608259
0,0.4,0.8500,0.610639
0,0.4,0.8600,0.613014
0,0.4,0.8700,0.615384
0,0.4,0.8800,0.617748
0,0.4,0.8900,0.620106
0,0.4,0.9000,0.622459
0,0.4,0.9100,0.624806
0,0.4,0.9200,0.627148
0,0.4,0.9300,0.629483
0,0.4,0.9400,0.631812
0,0.4,0.9500,0.634136
0,0.4,0.9600,0.636453
0,0.4,0.9700,0.638763
0,0.4,0.9800,0.641067
0,0.4,0.9900,0.643365
0,0.4,1.0000,0.645656
0,0.5,0.0000,0.377541
0,0.5,0.0100,0.379894
0,0.5,0.0200,0.382252
0,0.5,0.0300,0.384616
0,0.5,0.0400,0.386986
0,0.5,0.0500,0.389361
0,0.5,0.0600,0.391741
0,0.5,0.0700,0.394126
0,0.5,0.0800,0.396517
0,0.5,0.0900,0.398912
0,0.5,0.1000,0.401312
0,0.5,0.1100,0.403717
0,0.5,0.1200,0.406127
0,0.5,0.1300,0.408541
0,0.5,0.1400,0.410960
0,0.5,0.1500,0.413382
0,0.5,0.1600,0.415809
0,0.5,0.1700,0.418241
0,0.5,0.1800,0.420676
0,0.5,0.1900,0.423115
0,0.5,0.2000,0.425557
0,0.5,0.2100,0.428004
0,0.5,0.2200,0.430454
0,0.5,0.2300,0.432907
0,0.5,0.2400,0.435364
0,0.5,0.2500,0.437823
0,0.5,0.2600,0.440286
0,0.5,0.2700,0.442752
0,0.5,0.2800,0.445221
0,0.5,0.2900,0.447692
0,0.5,0.3000,0.450166
0,0.5,0.3100,0.452642
0,0.5,0.3200,0.455121
0,0.5,0.3300,0.457602
0,0.5,0.3400,0.460085
0,0.5,0.3500,0.462570
0,0.5,0.3600,0.465057
0,0.5,0.3700,0.467546
0,0.5,0.3800,0.470036
0,0.5,0.3900,0.472528
0,0.5,0.4000,0.475021
0,0.5,0.4100,0.477515
0,0.5,0.4200,0.480011
0,0.5,0.4300,0.482507
0,0.5,0.4400,0.485004
0,0.5,0.4500,0.487503
0,0.5,0.4600,0.490001
0,0.5,0.4700,0.492501
0,0.5,0.4800,0.495000
0,0.5,0.4900,0.497500
0,0.5,0.5000,0.500000
0,0.5,0.5100,0.502500
0,0.5,0.5200,0.505000
0,0.5,0.5300,0.507499
0,0.5,0.5400,0.509999
0,0.5,0.5500,0.512497
0,0.5,0.5600,0.514996
0,0.5,0.5700,0.517493
0,0.5,0.5800,0.519989
0,0.5,0.5900,0.522485
0,0.5,0.6000,0.524979
0,0.5,0.6100,0.527472
0,0.5,0.6200,0.529964
0,0.5,0.6300,0.532454
0,0.5,0.6400,0.534943
0,0.5,0.6500,0.537430
0,0.5,0.6600,0.539915
0,0.5,0.6700,0.542398
0,0.5,0.6800,0.544879
0,0.5,0.6900,0.547358
0,0.5,0.7000,0.549834
0,0.5,0.7100,0.552308
0,0.5,0.7200,0.554779
0,0.5,0.7300,0.557248
0,0.5,0.7400,0.559714
0,0.5,0.7500,0.562177
0,0.5,0.7600,0.564636
0,0.5,0.7700,0.567093
0,0.5,0.7800,0.569546
0,0.5,0.7900,0.571996
0,0.5,0.8000,0.574443
0,0.5,0.8100,0.576885
0,0.5,0.8200,0.579324
0,0.5,0.8300,0.581759
0,0.5,0.8400,0.584191
0,0.5,0.8500,0.586618
0,0.5,0.8600,0.589040
0,0.5,0.8700,0.591459
0,0.5,0.8800,0.593873
0,0.5,0.8900,0.596283
0,0.5,0.9000,0.598688
0,0.5,0.9100,0.601088
0,0.5,0.9200,0.603483
0,0.5,0.9300,0.605874
0,0.5,0.9400,0.608259
0,0.5,0.9500,0.610639
0,0.5,0.9600,0.613014
0,0.5,0.9700,0.615384
0,0.5,0.9800,0.617748
0,0.5,0.9900,0.620106
0,0.5,1.0000,0.622459
0,0.6,0.0000,0.354344
0,0.6,0.0100,0.356635
0,0.6,0.0200,0.358933
0,0.6,0.0300,0.361237
0,0.6,0.0400,0.363547
0,0.6,0.0500,0.365864
0,0.6,0.0600,0.368188
0,0.6,0.0700,0.370517
0,0.6,0.0800,0.372852
0,0.6,0.0900,0.375194
0,0.6,0.1000,0.377541
0,0.6,0.1100,0.379894
0,0.6,0.1200,0.382252
0,0.6,0.1300,0.384616
0,0.6,0.1400,0.386986
0,0.6,0.1500,0.389361
0,0.6,0.1600,0.391741
0,0.6,0.1700,0.394126
0,0.6,0.1800,0.396517
0,0.6,0.1900,0.398912
0,0.6,0.2000,0.401312
0,0.6,0.2100,0.403717
0,0.6,0.2200,0.406127
0,0.6,0.2300,0.408541
0,0.6,0.2400,0.410960
0,0.6,0.2500,0.413382
0,0.6,0.2600,0.415809
0,0.6,0.2700,0.418241
0,0.6,0.2800,0.420676
0,0.6,0.2900,0.423115
0,0.6,0.3000,0.425557
0,0.6,0.3100,0.428004
0,0.6,0.3200,0.430454
0,0.6,0.3300,0.432907
0,0.6,0.3400,0.435364
0,0.6,0.3500,0.437823
0,0.6,0.3600,0.440286
0,0.6,0.3700,0.442752
0,0.6,0.3800,0.445221
0,0.6,0.3900,0.447692
0,0.6,0.4000,0.450166
0,0.6,0.4100,0.452642
0,0.6,0.4200,0.455121
0,0.6,0.4300,0.457602
0,0.6,0.4400,0.460085
0,0.6,0.4500,0.462570
0,0.6,0.4600,0.465057
0,0.6,0.4700,0.467546
0,0.6,0.4800,0.470036
0,0.6,0.4900,0.472528
0,0.6,0.5000,0.475021
0,0.6,0.5100,0.477515
0,0.6,0.5200,0.480011
0,0.6,0.5300,0.482507
0,0.6,0.5400,0.485004
0,0.6,0.5500,0.487503
0,0.6,0.5600,0.490001
0,0.6,0.5700,0.492501
0,0.6,0.5800,0.495000
0,0.6,0.5900,0.497500
0,0.6,0.6000,0.500000
0,0.6,0.6100,0.502500
0,0.6,0.6200,0.505000
0,0.6,0.6300,0.507499
0,0.6,0.6400,0.509999
0,0.6,0.6500,0.512497
0,0.6,0.6600,0.514996
0,0.6,0.6700,0.517493
0,0.6,0.6800,0.519989
0,0.6,0.6900,0.522485
0,0.6,0.7000,0.524979
0,0.6,0.7100,0.527472
0,0.6,0.7200,0.529964
0,0.6,0.7300,0.532454
0,0.6,0.7400,0.534943
0,0.6,0.7500,0.537430
0,0.6,0.7600,0.539915
0,0.6,0.7700,0.542398
0,0.6,0.7800,0.544879
0,0.6,0.7900,0.547358
0,0.6,0.8000,0.549834
0,0.6,0.8100,0.552308
0,0.6,0.8200,0.554779
0,0.6,0.8300,0.557248
0,0.6,0.8400,0.559714
0,0.6,0.8500,0.562177
0,0.6,0.8600,0.564636
0,0.6,0.8700,0.567093
0,0.6,0.8800,0.569546
0,0.6,0.8900,0.571996
0,0.6,0.9000,0.574443
0,0.6,0.9100,0.576885
0,0.6,0.9200,0.579324
0,0.6,0.9300,0.581759
0,0.6,0.9400,0.584191
0,0.6,0.9500,0.586618
0,0.6,0.9600,0.589040
0,0.6,0.9700,0.591459
0,0.6,0.9800,0.593873
0,0.6,0.9900,0.596283
0,0.6,1.0000,0.598688
0,0.7,0.0000,0.331812
0,0.7,0.0100,0.334033
0,0.7,0.0200,0.336261
0,0.7,0.0300,0.338497
0,0.7,0.0400,0.340740
0,0.7,0.0500,0.342990
0,0.7,0.0600,0.345247
0,0.7,0.0700,0.347511
0,0.7,0.0800,0.349781
0,0.7,0.0900,0.352059
0,0.7,0.1000,0.354344
0,0.7,0.1100,0.356635
0,0.7,0.1200,0.358933
0,0.7,0.1300,0.361237
0,0.7,0.1400,0.363547
0,0.7,0.1500,0.365864
0,0.7,0.1600,0.368188
0,0.7,0.1700,0.370517
0,0.7,0.1800,0.372852
0,0.7,0.1900,0.375194
0,0.7,0.2000,0.377541
0,0.7,0.2100,0.379894
0,0.7,0.2200,0.382252
0,0.7,0.2300,0.384616
0,0.7,0.2400,0.386986
0,0.7,0.2500,0.389361
0,0.7,0.2600,0.391741
0,0.7,0.2700,0.394126
0,0.7,0.2800,0.396517
0,0.7,0.2900,0.398912
0,0.7,0.3000,0.401312
0,0.7,0.3100,0.403717
0,0.7,0.3200,0.406127
0,0.7,0.3300,0.408541
0,0.7,0.3400,0.410960
0,0.7,0.3500,0.413382
0,0.7,0.3600,0.415809
0,0.7,0.3700,0.418241
0,0.7,0.3800,0.420676
0,0.7,0.3900,0.423115
0,0.7,0.4000,0.425557
0,0.7,0.4100,0.428004
0,0.7,0.4200,0.430454
0,0.7,0.4300,0.432907
0,0.7,0.4400,0.435364
0,0.7,0.4500,0.437823
0,0.7,0.4600,0.440286
0,0.7,0.4700,0.442752
0,0.7,0.4800,0.445221
0,0.7,0.4900,0.447692
0,0.7,0.5000,0.450166
0,0.7,0.5100,0.452642
0,0.7,0.5200,0.455121
0,0.7,0.5300,0.457602
0,0.7,0.5400,0.460085
0,0.7,0.5500,0.462570
0,0.7,0.5600,0.465057
0,0.7,0.5700,0.467546
0,0.7,0.5800,0.470036
0,0.7,0.5900,0.472528
0,0.7,0.6000,0.475021
0,0.7,0.6100,0.477515
0,0.7,0.6200,0.480011
0,0.7,0.6300,0.482507
0,0.7,0.6400,0.485004
0,0.7,0.6500,0.487503
0,0.7,0.6600,0.490001
0,0.7,0.6700,0.492501
0,0.7,0.6800,0.495000
0,0.7,0.6900,0.497500
0,0.7,0.7000,0.500000
0,0.7,0.7100,0.502500
0,0.7,0.7200,0.505000
0,0.7,0.7300,0.507499
0,0.7,0.7400,0.509999
0,0.7,0.7500,0.512497
0,0.7,0.7600,0.514996
0,0.7,0.7700,0.517493
0,0.7,0.7800,0.519989
0,0.7,0.7900,0.522485
0,0.7,0.8000,0.524979
0,0.7,0.8100,0.527472
0,0.7,0.8200,0.529964
0,0.7,0.8300,0.532454
0,0.7,0.8400,0.534943
0,0.7,0.8500,0.537430
0,0.7,0.8600,0.539915
0,0.7,0.8700,0.542398
0,0.7,0.8800,0.544879
0,0.7,0.8900,0.547358
0,0.7,0.9000,0.549834
0,0.7,0.9100,0.552308
0,0.7,0.9200,0.554779
0,0.7,0.9300,0.557248
0,0.7,0.9400,0.559714
0,0.7,0.9500,0.562177
0,0.7,0.9600,0.564636
0,0.7,0.9700,0.567093
0,0.7,0.9800,0.569546
0,0.7,0.9900,0.571996
0,0.7,1.0000,0.574443
0,0.8,0.0000,0.310026
0,0.8,0.0100,0.312169
0,0.8,0.0200,0.314320
0,0.8,0.0300,0.316479
0,0.8,0.0400,0.318646
0,0.8,0.0500,0.320821
0,0.8,0.0600,0.323004
0,0.8,0.0700,0.325195
0,0.8,0.0800,0.327393
0,0.8,0.0900,0.329599
0,0.8,0.1000,0.331812
0,0.8,0.1100,0.334033
0,0.8,0.1200,0.336261
0,0.8,0.1300,0.338497
0,0.8,0.1400,0.340740
0,0.8,0.1500,0.342990
0,0.8,0.1600,0.345247
0,0.8,0.1700,0.347511
0,0.8,0.1800,0.349781
0,0.8,0.1900,0.352059
0,0.8,0.2000,0.354344
0,0.8,0.2100,0.356635
0,0.8,0.2200,0.358933
0,0.8,0.2300,0.361237
0,0.8,0.2400,0.363547
0,0.8,0.2500,0.365864
0,0.8,0.2600,0.368188
0,0.8,0.2700,0.370517
0,0.8,0.2800,0.372852
0,0.8,0.2900,0.375194
0,0.8,0.3000,0.377541
0,0.8,0.3100,0.379894
0,0.8,0.3200,0.382252
0,0.8,0.3300,0.384616
0,0.8,0.3400,0.386986
0,0.8,0.3500,0.389361
0,0.8,0.3600,0.391741
0,0.8,0.3700,0.394126
0,0.8,0.3800,0.396517
0,0.8,0.3900,0.398912
0,0.8,0.4000,0.401312
0,0.8,0.4100,0.403717
0,0.8,0.4200,0.406127
0,0.8,0.4300,0.408541
0,0.8,0.4400,0.410960
0,0.8,0.4500,0.413382
0,0.8,0.4600,0.415809
0,0.8,0.4700,0.418241
0,0.8,0.4800,0.420676
0,0.8,0.4900,0.423115
0,0.8,0.5000,0.425557
0,0.8,0.5100,0.428004
0,0.8,0.5200,0.430454
0,0.8,0.5300,0.432907
0,0.8,0.5400,0.435364
0,0.8,0.5500,0.437823
0,0.8,0.5600,0.440286
0,0.8,0.5700,0.442752
0,0.8,0.5800,0.445221
0,0.8,0.5900,0.447692
0,0.8,0.6000,0.450166
0,0.8,0.6100,0.452642
0,0.8,0.6200,0.455121
0,0.8,0.6300,0.457602
